ID,R2010,R2011,R2012,R2013,R2014,R2015,R2016,R2017,R2018,R2019,R2020,R2021,R2022
1445236,1663659.857142857,1663659.857142857,1663659.857142857,1663659.857142857,1663659.857142857,1663659.857142857,139965.0,3209305.0,1735575.0,2434207.0,-5864575.0,2632961.0,7358181.0
1445880,980424.0,923360.0,577053.0,1136691.0,1889180.0,2966937.0,3277010.0,2224399.0,2077764.0,2429803.0,3400844.0,6196735.0,4241765.0
1446356,3970821.6666666665,139138.0,877914.0,752150.0,983655.0,2950889.0,4699374.0,3379676.0,5364827.0,12532518.0,5283854.0,7347409.0,3338456.0
1447259,310596.0,314999.0,548917.0,504162.0,555347.0,545501.0,369088.0,394233.0,443546.0,744386.0,-980492.0,-8623068.0,-8623068.0
1447406,246673.0,291639.0,305447.0,437170.0,839995.0,874817.0,1049494.0,513127.0,134644.0,575372.0,-146533.0,1113863.0,2334465.0
1447889,1065895.0,9766.0,556904.0,711930.0,475999.0,315439.0,213550.0,4292.0,3432.0,279992.0,45749.959,413790.0,33015.0
1448400,341750.0,488238.0,472865.0,522138.0,434832.0,506105.0,438353.0,593971.0,685105.0,1248675.0,274654.585,176524.185,326729.434
1448540,226598.0,231130.0,358544.0,425471.0,652001.0,367416.0,989698.0,655424.0,943264.0,930083.0,328772.0,1512981.0,2312610.0
1448589,98884.0,135355.0,373997.0,186532.0,-386489.0,223458.0,-420621.0,161385.0,220047.0,277222.0,629658.0,531044.0,596963.0
1448610,150866.0,16093.0,-10223.0,15748.0,-4424.0,129344.0,123499.0,55915.0,181186.0,17750.0,528435.0,-692222.0,-458095.0
1449142,117368.0,59484.0,67964.0,41382.0,60866.0,188039.0,219052.0,547791.0,568959.0,430746.0,472945.0,530095.0,538965.0
1449310,418974.0,339425.0,481008.0,493196.0,644766.0,926634.0,929816.0,950708.0,999124.0,1310923.0,2042398.0,2001351.0,1653714.0
1451081,32681.0,28441.0,29411.0,12864.0,1509.0,152013.0,303949.0,1364295.0,290112.0,46344.0,124233.0,272261.0,-1765033.807
1451564,525511.0,612430.0,-492593.0,2647386.0,5244558.0,4818426.0,3660457.0,3628638.0,2129629.0,2829082.0,3555975.0,5697375.0,7186890.0
1451928,875171.0,879422.0,293385.0,312970.0,775996.0,1262995.0,2700554.0,1376244.0,1385907.0,2799967.0,2869096.0,6244695.0,10279263.0
1452292,1126408.0,1153299.0,1211825.0,1227656.0,1036393.0,4756666.0,1778703.0,1396611.0,1000002.0,999474.0,1074249.0,914039.0,3626320.0
1453069,868600.0,688281.0,504936.0,596125.0,389543.0,683165.0,660650.0,1219786.0,1052091.0,1378757.0,2036073.0,2564934.0,1535475.812
1453664,101288.0,27447.0,158128.0,85595.0,37112.0,67627.0,335782.0,28137.0,533098.0,340344.0,508547.0,1238678.0,1702696.0
1454924,6378.0,49143.0,-11583.0,48696.0,8082.0,161667.0,67414.0,46805.0,-24051.0,-121226.0,91807.0,201672.0,253565.0
1456548,272612.0,342369.0,932785.0,84234.0,195386.0,-39947.0,616630.0,-33658.0,916074.0,-183069.0,-21483.0,1095367.0,1494669.0
1458585,432450.0,1153966.0,2560024.0,477177.0,1205010.0,1133993.0,705676.0,1202820.0,744014.0,773615.0,1195759.0,1692920.0,2235475.0
1458802,1797865.0,1797865.0,1797865.0,1797865.0,1797865.0,1797865.0,1797865.0,1797865.0,1797865.0,1797865.0,1797865.0,1797865.0,1797865.0
1458942,959750.0,152176.0,234467.0,429019.0,359183.0,685508.0,1674984.0,985686.0,1503711.0,2571881.0,3266714.0,5814344.0,8292375.0
1459495,62175.0,69729.0,81688.0,76916.0,84317.0,26908.0,120241.0,102777.0,117643.0,75788.0,184051.0,-12851.0,282447.0
1460188,9368.0,22114.0,20490.0,22427.0,14752.0,211942.0,482712.0,1366286.0,-2818.0,30017.0,462541.0,205257.0,13427.0
1460545,89418.0,99156.0,130694.0,224882.0,166674.0,216697.0,479290.0,325671.0,340932.0,452738.482,443933.9105,435129.339,435129.339
1463247,574176.483,896162.029,342773.242,723814.456,1220394.0,511333.0,1350853.0,1608612.0,887903.0,128684.0,74378.217,33091.0,57087.0
1463513,551872.0,378943.0,561116.0,397623.0,232508.0,506000.0,619743.0,482087.0,192775.0,119697.0,394226.0,1438308.0,705188.0
1467125,-10963.0,2141179.5,4293322.0,4824940.0,6900321.0,8746275.0,12630629.0,8213256.0,5008914.0,6556772.0,6200756.0,2047776.0,7579309.0
1468455,-203632.0,30463.0,95350.0,37188.0,62646.0,113139.0,94379.0,87618.0,165264.0,126082.0,290026.0,504672.0,1136209.0
1468728,18142.0,32742.726,-22000.0,-9989.0,5131.0,-123197.65598,25759.86085,-67339.938,-21432.049,111659.0,-152423.995,289019.201,170549.0
