ID,AC2010,AC2011,AC2012,AC2013,AC2014,AC2015,AC2016,AC2017,AC2018,AC2019,AC2020,AC2021,AC2022,Diccionario!A1
86639430,"5410406,335",5847869,7636423,9664520,10834285,15057608,19866503,21319480,20911971,23501931,31641802,23198135,23611238,
86649035,5051048,4496042,5329195,5487501,5548195,5678924,6401002,7359167,8045542,5644263,"5081704,549",8228157,9398093,
86649063,1737235,3454007,"2370961,012","4248475,678","4513662,652","4766184,719",0,"14830360,115","23573090,842",35748289,46589903,35270672,46170213,
86649161,"13084852,006",21433702,23244246,23922285,36023582,41280650,42658062,41063102,48780898,44406438,65720122,85596107,108145726,
86739693,5543785,6981600,4809871,5082116,7253200,11282520,11144399,11799037,16111233,16981336,19491743,24217263,27865652,
86768208,17581489,24858542,36460793,40189773,43156962,56176604,76501410,91563504,93558397,141326046,151151586,186323935,232045170,
86773658,"2276175,817",3218911,5731735,8255776,11493117,12841186,"11646752,678",12435275,4111726,4502326,4127716,4033453,4534886,
86774906,20850074,28201909,27417140,22938565,36395847,49649257,49461806,44477565,46468403,50170472,55727121,64196921,41874652,
86775165,"7040131,971","7692529,19","7176662,847","7863957,929",9596623,14101543,14564563,15074019,17098808,19950171,20125886,21200200,18449477,
86784553,18999649,19559155,31399964,31755063,37446001,35696524,43352850,42970414,42843030,53438750,61691885,71238094,79631975,
86784833,3961204,4063874,4768256,4723646,5531904,6004200,6034866,5886854,5670274,5449621,6156906,5624054,5907389,
86785060,4972633,5672910,5447254,5358988,"7812005,555",7870914,9840413,11264892,13027440,13511732,12580776,13379119,14986539,
86785201,"1640661,704","1760382,429","2016724,447","5154463,31","5119937,203",0,6289577,6546246,6642852,8581499,11180590,12042050,12133578,
86790125,0,0,0,20065348,28290831,31264041,34735248,37547477,47051553,67598415,71809933,80114888,74070538,
86791162,0,12769300,13613000,7766897,9266787,9326261,10318869,12600422,15792434,16722223,15072633,19406863,26710557,
86791379,16791946,17942436,17560021,25137536,29242982,30372615,61049138,62214160,62409023,70675237,77648005,96756614,99113505,
86795124,0,0,9777170,11521800,12613012,15078779,17317692,20565632,17912337,19440350,18372499,14197556,16392157,
86826951,"8393358,355",0,0,0,12996839,16653068,20589228,23260676,28096425,28481399,29139554,30879328,39537400,
86827513,0,"3771201,359","4415889,847",4989533,10113297,11397919,18455771,22175117,35871593,36667182,"36602804,506",36471580,37377699,
86845813,"2490130,03138",3677440,5100436,0,9278316,9545374,13629914,15234761,17799957,18185960,25328519,31475052,39869318,
86847144,0,0,0,0,0,4530223,0,6441388,6011562,8192526,6276400,7263718,13242731,
86855087,0,539379,"1105233,558","1248367,77","1357088,382","1484181,253","1842800,71","1943225,115","2158038,703","2589581,368","2658312,071","3101242,541",3353474,
86856685,0,2650000,5100000,0,9501969,8501662,14633563,13525634,9511031,7236576,7190140,10546866,18536250,
86858281,0,0,0,0,17889053,17437881,21700071,28160921,25315344,21057340,22256326,23380730,17134495,
86875232,"4004691,752","4344664,665","4590871,286","5993405,428","6377134,946","7413896,951","7370491,67",7301251,6728211,14084209,13845568,13668852,14135852,
86886642,3546924,3806686,4220771,4241271,4410925,4624834,5005101,5170411,5737836,5722345,5773446,5907512,6100363,
87024192,0,0,0,0,0,0,80928563,61384341,59530729,58181488,57798534,58007612,71112521,
87024707,6205972,8338120,10389251,6828145,5915400,5905542,5869380,6929671,7892915,9747556,11035951,15044986,18175935,
87025249,5740155,"7041533,938",7902068,"14758597,235",12884032,11207990,11696758,11996884,13967797,14598743,"13172650,762",8875273,0,
87025742,7991597,11119837,10042278,12619062,17560889,29899261,23914336,22724769,27915205,30001143,31397637,27036721,38888266,
87028165,"2982572,439",3666207,3283258,6905088,12657721,13484558,18459006,26941117,40636096,65073498,68353836,65424352,95034461,
87029614,31899628,33681000,39304062,42946462,43185137,73099066,85551485,93294163,93963939,328998180,383142530,416922402,514466865,
87114307,3895565,4630697,4794741,4956335,4536892,5309621,"5729947,306",6045409,7161091,7154018,7821403,8155628,8947445,
87131920,4762182,4627787,4844101,4957240,29188005,29317981,7534092,8138185,8619595,8843277,8743141,8607988,8043293,
87131948,0,"10619298,632","11455067,578","11708598,889",12158428,14662854,15130702,15694134,16015917,18476162,"19084551,588",22858350,20549496,
87169300,3312997,3752015,3466829,4409039,4356781,4753335,4606486,4711397,4706260,5741888,6921937,11774330,17695203,
87172500,"910537,648",4158959,6710382,6788240,6153116,7857472,5824992,7094576,10963030,15421151,15714882,22660000,28622000,
87173264,"1626069,022",0,6773956,9481434,11612997,12249596,13918551,14182868,9647998,11652812,7617391,10517267,9242105,
87173726,"936822,525","949662,109","1844632,743","3577798,856",3860653,4173449,6660670,8020337,9397550,10856552,10136611,12165032,12464514,
87174539,5917308,5787023,8789901,9933957,12287288,14725720,13979514,16130649,15331821,17960375,18023560,20146284,25715803,
87175736,8056750,10396450,10246827,11266738,11643866,13136309,14708070,18869041,20213107,21869842,18785836,31890433,47723081,
87276438,17112766,19126773,20042756,12507045,10604889,13216102,12592605,23026013,19471965,14405835,11246426,10547953,9394823,
87276550,3466224,3831761,3145482,5365996,4777299,6198283,6058406,4586833,5698354,6613769,6501151,6033961,4755485,
87402303,1904129,4139375,5052561,5009002,5236671,5894542,7295682,14336273,16553960,11999004,4867575,6648789,14057880,
87402933,4465236,3752100,5987781,7241203,7548896,8620703,11235733,13911911,18872408,27052825,26798032,27514352,30720395,
87438652,111675148,118104840,127790322,172113336,179439085,212124483,447079926,372717802,417368900,442273745,446457254,532547767,504803275,
87438717,16042958,17188454,18200541,18568815,18063087,19791495,21644036,28633208,26997507,26198744,27001447,28211751,37339577,
87513139,28451523,26306025,25958467,33023246,31166616,22603323,20391418,17123085,17501731,23797246,12849052,12045266,11605861,
87745628,30173335,34950868,36439399,52694359,68748614,80190083,71668126,73372523,67947992,89560343,110559322,145082587,178416263,
87745737,3126893,3260405,3147397,4630585,4177395,4606264,4725128,6230429,7829126,7610277,"4914183,974","5294724,806","4691143,61",
87747396,12847187,14294474,13348587,12701599,13149483,17005430,17954753,18556465,22482826,25241274,23972500,28049871,29308574,
87774234,"3832217,179",14916050,20190801,38802112,48216687,54493994,46114441,49457449,70987905,80838317,65473154,59909513,71771255,
88258451,2052822,2381361,2988634,3275905,5246130,6225952,6661834,6934404,7150010,7765315,8495208,12927643,16204089,
88259194,"3095142,181",2877467,"5130900,128",8596333,13296405,11882277,10910804,11123424,11777887,10139806,10544344,9211347,12930482,
88259904,"2412410,487",2433855,15165611,14940042,14862351,14782871,14821597,14812606,14503614,13554454,13607712,13794288,13819271,
88260910,"1017095,841","6470575,603","3820274,953","9160803,075",4040704,7687412,7836828,5484917,9452076,11052702,12926285,17582127,13713137,
88262324,2225258,1612923,1765472,1568156,3368123,9316070,7665788,20646843,26943294,30501032,98032970,71879151,67180514,
88387694,44596121,45018261,42053328,36526615,31823469,"56011359,218",98626820,123854868,"166646146,712",228707063,274293845,402252524,681764383,
88393712,"1846215,903","1471757,668","975054,715",0,0,5693305,7049881,7757220,8433103,13677761,11263634,12914870,13818731,
88457635,3516941,4301511,4110239,3893831,3749325,6275439,7946668,7798112,8005004,8076048,"8042667,455",7816204,7719628,
88458272,"2087434,762","3870993,717",8815000,4416708,3904146,5243544,12861035,8351314,3495926,3442191,3499492,3704579,0,
88458496,8727504,"10603205,502",14954648,20398749,25208380,23029028,22167581,25822432,31953828,33578961,29279238,35321037,41018668,
88461955,0,"10902455,823","13090636,876","16035000,104",17817919,16785618,18677386,17978220,18587679,24085652,28864824,52772853,56311050,
88515736,"6191659,112","10630303,416",13060000,"14808988,759",15270225,12674413,13722761,14155177,14382682,15063357,0,0,0,
88517327,4738318,5494244,6580110,5548642,6619146,4243671,11752333,4455275,5466296,8604604,12267164,12955754,28614444,
88517764,0,0,7531352,8783090,28575887,0,55777129,42515717,44711598,43967525,47253078,51505156,65157572,
88517885,"2917513,202",4179113,3782245,5118255,6503306,7081360,5591867,7794287,13315886,13395376,12956163,16571693,20262662,
88523827,2485772,3269657,17420431,17442134,17565276,17800842,17230587,17278240,17172205,17265337,15944343,0,36161568,
88524195,"6084212,439","8149753,269","9497012,143","9483195,63","12401384,443",0,0,36135661,39821295,44302451,57004585,72618071,96477168,
88572138,7109430,8459327,9177544,11966517,12466753,13896946,0,30280342,33000727,36746981,35357871,44889755,60533047,
88578971,1294056,1099033,924382,918264,977850,1109491,1112019,1217859,1490212,1543287,0,1696927,1853195,
88579186,4869761,5349639,5433735,5432084,6231420,6213274,8084389,7730968,7456706,7882521,8477902,6470735,8814577,
88581772,"1350869,576","2154391,719","3204907,006","7797707,765",11734297,0,"7515731,615",2392639,2280049,4165358,3860435,4533913,2433162,
88582045,11200534,12061940,15078702,12405108,14844404,15066193,18102267,13911411,15309283,6990648,6670022,6329662,7455121,
88585047,161486688,246440556,284279000,391883229,471734678,589035077,633723963,608175084,646168090,357177944,0,363747393,435719400,
88585649,"1183626,715",1418296,1784909,1801083,"1701722,555",2456898,2498228,2459666,2487602,3823374,5040022,"5681849,514","4921941,277",
88590252,15359269,17502264,18167077,17713753,17270184,17898910,5527385,5627969,6552437,6741233,5481340,6269312,10741504,
88590581,3458255,4497215,5029464,7852211,12659012,15536510,14154831,16262994,5956667,7553454,7056592,9375593,"7966313,663",
88590945,1970698,2721264,2740122,3048182,4278809,5351666,6041042,19883124,20569222,18475604,19371028,20523883,22245554,
88590952,10770760,10943449,15564318,16511044,16333973,15471747,12940411,12416749,10631356,11333283,10514081,13295142,13985799,
88590966,"1070204,531","1398208,716","1664658,379","2177863,85","3455328,12",0,"5600347,599","5641787,695","5230243,855",5766551,5429216,"5157370,115","6331166,28",
88666996,"3893961,895","4639283,67","7299547,752","10540534,634","14172092,259",17856446,24152743,31417487,38228024,73985796,87897408,175067314,272531232,
88669945,83083472,117901497,102990506,112998773,162727372,176384626,184222194,152506309,176994904,211566240,208731639,230116578,306819384,
88670891,0,2023000,2155947,2296860,3502897,4556207,5711183,5263354,7901336,8992179,13549839,15733922,14548644,
88693148,1634682,932978,"2095522,33",2859475,3101878,2536766,2791847,3567986,6427038,6851941,7025381,12133618,11390571,
88710293,1375634,"2549406,68",0,"7664518,994",10814451,17878251,17202234,17773436,18644672,24298019,29426775,38713861,70958350,
88711805,18968766,34759897,47356095,50315347,50779222,53739557,137573298,137596943,138616418,132293212,131850786,150169802,157659956,
88713485,"3087716,114",3163288,4204378,4965412,7106093,9543947,10731695,14347062,16308866,15137515,13915787,15710902,15521917,
88826062,466245,538608,558868,604261,689170,1172994,1147002,788667,964057,1241666,694021,1276671,1965677,
88892231,"2027349,832",0,0,0,0,0,9725942,9869645,10075143,11696896,13747009,13972666,17779719,
88907194,35533665,50748870,50806609,59048949,69170884,44158621,72167405,69029559,156142129,228764130,222169529,273691196,357872780,
88935425,2933234,2962676,2212410,3404317,5766877,7260688,11577242,10883699,13218457,13706341,10798879,12567622,13118356,
89008226,8628518,12779812,11674101,11510448,10970741,11449239,11115220,9017604,8847882,7581339,10455539,13368792,41314138,
89020292,4612478,4089998,7450118,9771481,12484802,12565035,11688088,10875118,13354068,18328381,20287431,20988798,18146731,
89023271,4205137,4358085,3193814,3476592,3466481,4440305,8058203,8515436,8303449,11058715,10064304,10136036,11804628,
