ID,Delta2011,Delta2012,Delta2013,Delta2014,Delta2015,Delta2016,Delta2017,Delta2018,Delta2019,Delta2020,Delta2021,Delta2022,Delta2012-2016,Delta2017-2021,Delta2018-2022,AltoCrecimiento2012-2016,AltoCrecimiento2017-2021,AltoCrecimiento2018-2022
385996395,NA,NA,NA,"1,89231869569785","0,148532715023371","0,466960101904333","0,280635280495925","0,634676426116037","-0,120572448025411","-0,0182805976131392","0,495778101673671","0,706835215749906",NA,"-1,11099114956955","-1,20417568679486",NA,0,0
385997522,NA,NA,NA,NA,NA,NA,NA,"30,2186005846835","-0,959259849190291","0,951579987540547","11,274106199366","-0,973951598004803",NA,"-29,4657796235076","0,974579742209215",NA,0,1
385999165,NA,NA,NA,"2,12312151261956","1,21926496586757","-5,64E-02","0,337107745425714","0,189757550577205","0,816825242618284","0,152333113158015","-5,22E-02","0,326882912765127",NA,"-1,36086967896753","-1,6329714274707",NA,0,0
386001033,NA,NA,NA,"7,65969927632978","0,660832956172025","-3,19E-02","0,76049845274902","-0,18760179242719","0,379823403178196","-0,703395976606852","0,721056881245816","1,56144471076427",NA,"0,427777770366399","-0,804183699341018",NA,0,0
386002299,NA,NA,NA,"0,944486256357716","-0,546691400730271","2,40946856035179","0,644518756733739","-0,0236425176010065","0,137165751820812","-0,191761427518385","2,25484566764957","0,61178222301515",NA,"-1,92080527380881","-3,82169912361066",NA,0,0
386003558,NA,NA,NA,NA,NA,NA,NA,"0,571043344098237","-0,440916555389869",-1,NA,NA,NA,1,1,NA,1,1
386005010,NA,NA,NA,NA,-1,NA,"-5,18E-02","-0,0749497045473965","0,00516777152162445","9,77869871348938E-05","5,77E-02","0,141048782916049",NA,"0,0164568979305256","-0,213199612041366",NA,0,0
386014893,NA,NA,NA,NA,NA,NA,"4,76904553709558","0,594898198714989","-0,31722451334826","-0,672237560779231","0,608729360215686","15,0795025355148",NA,"0,425813392034051","-4,78885538029064",NA,0,0
386016058,NA,NA,NA,NA,NA,"17,3136517538107","-0,812325030271453","1,15417172849889","-0,54614337641868","-0,0544857881342769","7,74425892541236",-1,NA,"-7,08332554589914",1,NA,0,1
386016481,NA,NA,NA,"12,1261457020247",-1,NA,"-0,432794785787719","1,36672462133098","-0,267656189209","-0,537026385817287","-0,595514460330444","3,25003354132437",NA,"0,675419828770557","0,417136830309323",NA,1,0
386019246,NA,NA,NA,NA,"5,76716781549597","-0,697338579717035","1,80654324597408","0,554681148344667","1,08630759227976","-0,268017133939256","0,344892516135619","0,593064884829542",NA,"-2,19306796924402","-2,27190206306464",NA,0,0
386020525,NA,NA,NA,"7,59E-03","0,141298007720736","0,160567267613132","9,03E-02","0,13347774533824","0,158148419016319","-0,0388127056629724","0,191112060412499","0,253849755311734",NA,"-0,502926906849303","-0,66253333349927",NA,0,0
386026570,NA,NA,NA,"10,8041090515536","-0,71098751037673","-0,428795586828149","1,02392480099932","0,340185485433611","0,201350261266307","-0,33730925302458","-0,335401845100277","0,266373246651296",NA,"0,290904719022331","0,329958947536082",NA,0,0
386028382,NA,NA,NA,"1,2137925445443","6,46E-02","1,36730997213747","-0,237112432413195","-0,1203770655133","0,451665081956656","-0,325741365092951","-0,355339339897207","-0,119727441916311",NA,"0,444964629282223","0,444554721741337",NA,0,0
386028681,NA,NA,NA,"1,81E-02","0,168465377656277","0,201884947932396","9,65E-02","-0,036831224803171","-0,451311579104689","0,23396241324043","0,196138723067905",-1,NA,"0,219969343561879",1,NA,0,1
386029361,NA,NA,NA,NA,NA,NA,"-0,701001314482636","3,00965457216002","1,76610542462761","-0,822772356653359","-0,215721880841252",-1,NA,"-0,541619694077538",1,NA,0,1
386030831,NA,NA,NA,"4,5508000832607","0,557389628389024","0,278286128304785","0,595713047133454","0,246468018844709","0,105434548296278","-0,0172933741487922","0,404451814243682","0,683750706729645",NA,"-0,901712676140715","-1,56886660069822",NA,0,0
386033491,NA,NA,NA,"0,27100779412867","1,27164808130172","1,14889830521112","0,36175207928034","-0,200573764876701","0,44607897437398",-1,NA,"-3,34E-02",NA,"0,694991503801986","0,631220517327504",NA,1,1
386034171,NA,NA,NA,"0,148284038361459",-1,NA,"5,64E-02","-0,376951156358645","0,205023091799543","-0,377147559412253","-3,86E-02","0,804568555704361",NA,"0,550405246138938","-0,302184513954956",NA,0,0
386034688,NA,NA,NA,"0,911164157904082","1,16774193548387","2,56E-02","4,09E-02","1,74213648858878","-0,475927223185282","0,0652806533419833","6,57E-02","-0,718024007948647",NA,"-0,631406649901584","0,832241206643248",NA,0,1
388092832,NA,NA,NA,"0,797898716503495","0,959206867371562","0,264661806528855","-5,89E-02","-0,123948252934185","-0,206580525160427","0,0570736623890547","-0,221202404974408","1,35597406031855",NA,"0,427780741486469","-0,538874540674036",NA,0,0
388093273,NA,NA,NA,"6,66E-02","5,88E-02","-3,43E-02","3,62E-02","-0,0156698446132663","0,0734010142708474","-0,0908906153291886","0,128674819549073","0,143220114003242",NA,"-0,0841459919211849","-0,259148160500417",NA,0,0
389043212,NA,NA,NA,"0,214802804357259","0,297409396694104","-7,08E-03","1,73E-02","0,273842761183845","0,104787856016912","-0,60148642517069","1,24988923940494","0,317598643649064",NA,"-0,261824552099057","-0,305167614897533",NA,0,0
389057748,NA,NA,"0,177461533277873","-4,74E-02","0,146462897692184","2,99E-02","0,242212062546019","-0,0395844896361121","0,116347255873057","0,0445805124953158","0,264966504444996","0,196873224109459",NA,"-0,416704976834854","-0,765502779722708",NA,0,0
389106179,NA,NA,NA,NA,"8,99E-02","-0,37670331232459","-0,10204375255196","2,91691152136324","0,191392054802017","0,131660647155453","-0,326957386229795",-1,NA,"-2,55432582675295",1,NA,0,1
389135787,NA,NA,NA,"5,74E-02","-2,50E-02","-4,65E-02","-0,196915474260195","0,0611409251526155","-0,189417679261161","-0,63382905267787",-1,NA,NA,1,1,NA,1,1
389141583,NA,NA,NA,"0,533203819721905","2,63E-02","-1,89E-02","-0,122436716267716","0,0284646729863285","0,0313790998148534","-0,27322144917952","-0,151679955361492",-1,NA,"0,346012367335766",1,NA,0,1
389145282,NA,NA,NA,"0,13357610068233","-0,169935620414979","1,97E-02","0,162132132333723","0,0111150893873008","-0,0313689073491972","-0,168199692936547","-0,9281338926872","-0,864551713602117",NA,"0,941453330441397","0,992157128155588",NA,1,1
389151124,NA,NA,NA,"538,699230769231","0,140720828837714","2,89518954444361","-1,74E-02","-0,490563370579707","0,150188661833916","0,352312867862547","-0,750423641699445","0,17815518914957",NA,"0,802239352920571","0,542646289821489",NA,1,0
389415721,NA,NA,NA,NA,"0,144791044754739","0,251254902925857","0,211569138415505","-0,200582453518956","0,167973311226535","-0,0315597033536992","-0,395645203235276","0,276208405691176",NA,"0,453523587909275","0,127592590765486",NA,0,0
389417833,NA,NA,NA,"-7,47E-02","0,417937688170809","8,33E-02","-0,227868570364893","-0,143129971013592","-0,106816149510435","0,130774096350172","0,866225716492577","-0,13042708308581",NA,"-0,615086680498172","-0,639029944239454",NA,0,0
389444561,NA,NA,NA,"-2,39E-02",-1,NA,"-0,322744274046775","0,44372223136416","0,801701803069558","0,30162493065491","0,704752374084425","-2,78E-02",NA,"-4,77183250212023","-2,8865990679976",NA,0,0
389444642,NA,NA,NA,NA,NA,"118,077334685141","-0,831379230584755","29,8801338640769","-0,11110545874927","-0,963183456663552","-0,475528377200531","58,5840862058928",NA,"0,469977362047346","-0,022693576713537",NA,0,0
389446012,NA,NA,NA,NA,NA,NA,"-0,643335712429496","1,13084137852901","-0,994283389388545",-1,NA,NA,NA,1,1,NA,1,1
389446093,NA,NA,NA,NA,NA,NA,"-0,337521571332791","2,39971356492509","-0,997322105780944",-1,NA,-1,NA,"0,975590829084282",1,NA,1,1
389446120,NA,NA,NA,"5,329096016478","0,606783418780767","-1,35E-02","0,104127706805846","0,0654527879724495","-0,15532715365303","0,339508129331794","0,195987092715772","8,27E-02",NA,"-0,441765369113523","-0,465111448295351",NA,0,0
389446328,NA,NA,NA,"0,881621842732551",-1,NA,"9,78E-02","0,83048409215169","-0,102617273794863","-0,221139114927393","0,37886424662817","-9,76E-02",NA,"-0,764107591967948","0,130278555100995",NA,0,0
389447337,NA,NA,NA,-1,NA,"-6,08E-03","0,114512925639649","0,253899514926627","0,200547296739071","-0,284682874904417","-0,155681394264696","0,444626739751798",NA,"0,0908260353751453","-0,0474659290860927",NA,0,0
389447703,NA,NA,NA,"3,66402992704987","0,504666935481105","0,165227830785997","-0,209251360862725","0,0098785480804264","0,0272432353240335","0,230986637101036","-0,124283795877697","0,328614417410492",NA,"-0,118302153924226","-0,471258467217788",NA,0,0
