ID,PT2011,PT2012,PT2013,PT2014,PT2015,PT2016,PT2017,PT2018,PT2019,PT2020,PT2021,PT2022,Diccionario!A1
90184346,"877557,978","2877447,932","3043989,472","2557492,883",0,"3068661,06","3171768,291","4476033,823","4719068,44",5017331,5851021,6103766,
90184620,5555845,14563134,18829987,11472068,6090907,6032543,5108164,-3072707,-4425456,-4709999,-7775501,-9215853,
90192143,5687402,"6091630,021","7001472,535",7546038,7736824,14504195,14846192,18457050,18248560,18005476,18046677,17020302,
90200547,7060480,9886078,9052319,10253284,11080322,7697593,2966247,6786951,6569163,0,-23030486,-10646031,
90201141,2937427,4678695,5298380,5785340,6712698,6040471,6686244,7626473,8386322,9956095,11264984,11289682,
90201584,281297,-57169,-483289,-1039689,-1621630,-2081611,746743,-275286,-1113094,-1569029,0,0,
90364896,"62922,264",0,"3050823,532",3105018,10848565,10720461,10699486,11878772,11909467,12653198,12881741,13244122,
90366577,0,0,0,0,-35246,108180,-133445,-2737056,-2929543,50170,0,0,
90366849,374478,461799,703843,714209,1413133,749039,930551,1042468,951371,1119810,1163489,1374249,
90457469,4001825,4603670,5572714,"8536194,336",12028659,11451305,12753790,13491716,14773357,16060622,"16945629,553",18332244,
90489930,180316,0,995842,1354458,463277,9704577,9812022,9595493,9987096,9830504,9884789,6993625,
90492146,22842238,37520483,27495841,43412343,50399577,47556381,66472383,69341983,67428534,66724176,66424067,53507257,
90496882,0,0,"5933038,39",7104936,0,0,7974856,8463235,8444462,8424363,0,3864653,
90497554,13729300,3791701,3875999,4051225,5588366,4947256,5004840,5576331,6356442,"6732404,13",7661380,7193804,
90497578,2953005,4040036,8043769,6516771,5010907,4842592,2379029,9353507,14209745,11593474,8409748,6337588,
90498882,1511944,1873551,2042715,2314110,2547213,2839539,3331003,4759890,5886525,7040432,8432396,"8382975,102",
90498922,1637770,2070170,2590426,2479240,2579013,4939610,5586777,5013738,6046925,5375879,6030159,4594171,
90499002,1859575,1902028,2975857,1648009,1366641,1742463,2337895,2933638,3044845,3063907,3073859,3272851,
90501154,3020118,3997855,3879637,6055019,1979758,7790459,5542047,4123356,5461491,5166870,5192849,0,
90501946,0,2681296,3174504,4207623,4278811,1899478,4925628,5330076,5546250,5344112,5219302,5884854,
90504239,2360938,5516722,5032190,6893844,6645697,6890090,6615871,6824609,8965605,7997925,9101837,12468991,
90507149,"1056221,708",0,375200,456715,0,0,"2153178,441","2358515,717",2409094,"2971428,945","3151762,197","3527941,284",
90509112,10248644,9442947,10562007,11530069,11931129,14280631,16248889,15827130,19412891,7408043,0,0,
90510644,"410633,058","464507,549","849055,636",678765,908853,1096165,1373819,1632449,1965420,1849514,2982872,4061323,
90575405,333781,364832,427193,458749,559248,994944,1410190,1349964,1294815,1326148,1416036,1306266,
90607500,2547973,3411071,2915296,3460867,1458188,1364571,1437514,1357538,14281998,14296102,14371557,14392952,
90749215,0,9025171,9336627,9278605,9440145,9203888,9118085,9247041,9430473,9667790,9851121,9980862,
90749679,0,0,"3806991,655",5221604,5618215,6513639,7811954,10682076,14014496,"17791964,225",21126191,27546703,
90749895,0,"476017,595",0,0,1311304,3707369,5820165,5862065,7112677,6828117,7671924,8707452,
90751496,1194886,1745360,2451805,3230472,4205401,4679272,4766871,5145431,5460370,6324669,7363772,5870202,
90752160,0,2898997,3497097,3422021,2823576,3020606,2924852,2845250,2192926,1382341,0,0,
90753032,28302,-75206,-1047715,58021,178587,502266,420073,108100,361967,477773,702381,5088308,
90756937,"588966,692","5588966,692","5623409,86",5333325,141515,1529556,2217403,2012100,3038695,4382878,6781790,8086924,
90757985,"3269327,312","4432986,829","5501083,949",6169091,6418936,"16852335,94",43297150,49830572,43591520,34208556,32298388,33164231,
90758353,0,0,"182954,942",0,8785726,9900598,9852381,9988588,10199544,10853402,10362092,10129610,
90759762,5510375,5983965,7621735,8042507,6574267,6662097,7627062,7741934,7836433,7686247,8066137,8338697,
90761551,2884133,3383221,3948483,4796575,7503841,11675905,13127349,13453737,15190969,23191613,30989284,32263351,
90843138,11080876,9847569,8961574,5299029,12261451,11569577,17543581,20035094,29532667,30226397,32054167,7866306,
90843162,2515137,3096651,3320049,4729148,6488659,6455033,10863211,11932781,10490830,0,3443785,0,
90843218,5930451,6650053,7035307,9614241,10858174,13339275,13468289,13720771,15344670,15621028,15741567,22602283,
90843610,11683540,18058034,66225676,74008159,87588602,102533977,127488233,148841414,173342334,190469645,209474305,235417625,
90843658,112890341,159522581,172070878,"199757901,382",383368193,0,824172529,1317093043,1447390461,0,783705562,785865749,
90843922,1818562,3162435,4075461,2602087,2259097,3484204,9600437,8263213,7110959,4931789,6200333,5481780,
90843978,-11398440,-8093592,-10332225,-12515068,-42397484,-40602238,6597529,6708350,4010142,2146393,0,0,
90844034,23017080,33739085,34622151,42519228,49710869,52284999,53196907,54141172,54597361,54644788,72717289,71112340,
90844274,8203194,7181109,6495497,25602925,24177205,25432602,19131639,21016146,16956600,16638500,17642228,21187846,
