ID,RAIE2010,RAIE2011,RAIE2012,RAIE2013,RAIE2014,RAIE2015,RAIE2016,RAIE2017,RAIE2018,RAIE2019,RAIE2020,RAIE2021,RAIE2022
63129446,1263812,1037290,699091,2142485,6214584,7567283,8579054,6636045,7857276,7576126,4277615,0,0
63129550,4050352,4544969,4504365,4290427,4914823,5324335,6140076,6064452,5745399,7740484,7545897,8778225,12821081
63129580,4255379,"6240091,12907",5948204,5190742,"8811210,345",7327264,,23434034,19175550,18571740,18628112,25462099,18267931
63129807,11982015,38590520,50881733,57738599,62831497,55455667,60240373,38589901,36516455,45662167,28389216,43004641,56859609
63129822,27023665,28426952,26689485,57469590,"67384974,488",53678453,56044007,54545958,32500573,16781629,27156117,71291927,31283244
63129878,13133869,12266181,15618100,17523077,20594003,23482102,23788228,25284309,25368580,27806373,14834640,36929692,44663233
63130082,4053747,4366773,4905531,5407178,5343682,6678048,8072523,9130836,11459019,13642127,5026790,11349911,16155987
63130196,52874046,56919264,64534973,70178112,93152430,112023062,142197658,150921479,164939526,174098580,177311675,208958872,260892179
63130231,937320,2439210,6354615,14709293,21729191,10984512,849877,4384016,595246,5105617,0,0,0
63130344,9982248,10773243,11433516,8484471,8944006,11605554,12503377,10137612,9752560,9544109,9332814,"13736056,545",16151133
63130352,5078339,6292921,6640392,6587700,6798700,7788651,8711363,8524132,8249721,8839655,13305440,13939973,14101838
63130425,0,159414,0,0,0,0,247915,268122,284771,303060,301614,1334248,155175
63130446,3686670,4515478,5394378,5729158,6288365,8189144,11067606,10609415,12049649,13233772,24578513,40587855,31030693
63130474,82500,88910,90000,90000,216000,162000,180000,180248,180125,250726,144000,144074,162070
63130531,67996306,91560099,65965494,67300457,70603485,79078791,83195182,77004765,86219234,98420085,81746221,119880068,161006249
63130588,7552335,8730801,7968048,8155305,7762382,6818813,6979891,7515658,7962288,9022562,6531524,7843506,8846009
63130693,406290795,571627942,645553138,819589892,1056152400,359676434,3705476,16732271,18612890,31828133,10411973,12862801,9726743
63130729,8612033,10803082,11405180,11697191,14234694,18223744,20923453,21906428,20147226,22633238,26487232,29248944,29588995
63130856,2901985,4157310,4176511,4428442,5809596,6108529,5812770,6463887,6492069,6409436,"3353370,511","5445294,956",6096365
63131104,4762931,5527105,6999205,7693360,8734684,9281877,9745864,10425607,11669658,13579985,10913856,17962922,20765017
63131134,22392579,15291039,15229156,"60243988,152","30347500,605",25209598,52200380,45502084,19164343,33894506,20114448,"33562344,695",67459550
63131208,8787603,12659633,11378298,18135545,32310538,4870055,909260,16091372,19442755,6964445,3058726,21722381,37089854
63131304,2557632,3252409,3905279,5123970,5283692,6229909,7123162,6841172,7306779,9252388,8226610,11503193,15825492
63131354,9436618,9965160,14076317,15693250,15012897,16106166,11584631,10338758,10125351,10795783,0,13447167,13229239
63131389,22712999,23350579,30784234,"35971660,894",31716665,40032731,54382829,58188859,58702121,72677633,79987291,"72629722,82",135087215
63131502,4133512,4228919,8094758,9493487,10163870,19935003,20868757,18929601,19182697,20986279,12480854,14992694,21678175
63131574,3623097,4510979,5255236,4972781,6209765,6576906,6152759,5591917,5731262,6676852,7000925,9447709,6302205
63131609,21551722,20335884,19003000,18007936,18159159,18384212,21939910,23068267,20528064,20138778,23037135,22386369,24719050
63131686,3255695,3595322,7363471,7655073,8334565,7204335,11208879,15901154,12157081,13348274,"10685922,406",17402095,18320575
63131715,11884182,12826744,15528808,22598651,33716870,42245573,40251679,23778896,67951913,"86020943,368","115424097,708",45806003,100916629
63131736,3323932,3755265,4027658,7464843,6671688,5590729,6188991,5515823,5425156,6263718,"6185386,564",0,0
63131801,11299568,11613770,"11934189,116",12101157,12405120,16506328,17995950,17738164,17740660,18964857,17439601,22069873,25397082
63131815,5518126,7573213,10194996,11528934,14317757,18735889,16912064,15215045,14157452,13428183,7015994,9104868,11209825
63131880,69417946,69209745,57397563,60283531,63606654,68876289,75624635,80102270,52043971,55276914,78271624,87769444,105780933
63131894,10977344,12986375,15070436,17423209,18723739,19995298,21577523,26874398,28650031,47936284,49565121,52186456,70199611
63131901,26891993,26684465,28605388,27525850,32406187,38746739,43890743,47845218,68453191,74805331,78424129,101961492,"137165724,505"
63131922,3970078,4731866,5776944,7761860,8534792,11812478,14928334,17601464,17724538,19842217,20911247,26717786,35535711
63131958,62927898,72063529,81146006,89705543,105001355,133421715,160353703,172047988,195433408,251063015,262685366,365512919,441455560
63131965,3265142,3949581,0,4617469,4949193,5351208,6054806,7220682,8491755,11116934,10791531,11539021,16311823
63132000,22032242,23363558,25719490,33229297,37237901,44277635,65352494,76191426,89543246,"78899879,706",88280357,99872747,99469409
63132007,3022820,3671714,3867389,4846669,6473789,7721285,10602047,12191521,11976986,14833866,17445095,25764143,31791408
63132014,5339199,5567640,5134241,4543919,4549932,4958276,5806749,6414293,7553025,8216094,8232372,5649612,14144569
63132120,9126338,9284705,8568887,8620485,8918114,9583253,9934186,9966326,10080065,9880927,8786261,10687386,14984952
63497162,"5728986,12104","15643929,78535","12786684,24039","20568516,4227","22943526,79799",27502240,28514983,32321459,59530283,88271312,97256911,163478133,251399665
63505052,104254,166773,0,248042,249494,261646,1330258,1553697,1163678,632126,1726007,0,952321
63505843,37948866,41192119,44058087,53724089,60433030,62186112,76588639,78710474,86980745,103952153,128446200,140623727,195790424
63610177,6601342,9430210,10396123,11729709,14986397,18116713,29654586,38094624,30164066,30021842,33762285,30663004,33653579
63610961,"2395924,082","2264926,783","2281603,138",0,"3090639,435",3366184,3431681,3035902,4248327,4944234,3903256,3050164,3431404
63613670,6092376,5756786,6059649,6901175,7240622,8796095,8181950,15526927,17474646,13348232,12270551,9394499,14206366
63614034,423149,495926,205081,222866,179333,112067,311757,956441,508340,1124038,1530237,1972870,2633431
63614972,15197326,13141074,9803959,18764013,17643716,20833442,22835179,19847032,16082413,19581275,13851603,27280038,28294384
63729380,3694931,6715177,3190543,4334815,5026572,6691012,11670749,10459066,8714435,7513046,3705043,5323426,5991536
63744442,0,0,0,0,0,44286472,16140995,73942254,98053365,94417310,64764559,0,0
63752844,3529851,4557770,5030580,6381476,8286989,11007660,14507274,19471156,31054567,42177592,48393954,50483687,59525897
63754070,21928886,26289994,29651168,38664607,29989187,61359468,33500640,66603670,40928058,28070467,42342581,36804742,39894220
63999884,2988419,2883075,3684762,4531421,1139045,1922521,2022744,2560191,1486276,1863607,8027290,0,127645
64000282,5692017,7580064,11900455,10584484,9716227,12932809,13750501,13336841,14697330,22033572,"12432024,169",17650259,22145801
